tweet_id,favorite_count,retweet_count
674410619106390016,1243,497
674416750885273600,707,148
674422304705744896,1485,563
674436901579923456,1155,418
674447403907457024,1101,378
674468880899788800,6460,2193
674606911342424069,978,106
674632714662858753,1557,612
674638615994089473,1744,618
674644256330530816,1072,292
674646392044941312,1494,533
674664755118911488,958,270
674670581682434048,1680,690
674690135443775488,1192,497
674737130913071104,669,98
674739953134403584,1162,420
674742531037511680,510,54
674743008475090944,1462,585
674752233200820224,1521,493
674754018082705410,1413,479
674764817387900928,820,254
674767892831932416,1908,854
674774481756377088,1175,509
674781762103414784,2091,1290
674788554665512960,842,221
674790488185167872,1145,270
674793399141146624,2611,1165
674800520222154752,3130,917
674805413498527744,896,377
674999807681908736,2344,1179
675003128568291329,1615,502
675006312288268288,1018,241
675015141583413248,2825,1276
675047298674663426,1102,351
675109292475830276,2912,1207
675111688094527488,1005,269
675113801096802304,2037,834
675135153782571009,1353,526
675145476954566656,2225,961
675146535592706048,1247,332
675147105808306176,982,257
675149409102012420,3898,1797
675153376133427200,6573,2788
675166823650848770,3776,1731
675334060156301312,2908,1376
675349384339542016,4111,2416
675354435921575936,34222,18327
675362609739206656,1095,244
675372240448454658,1784,541
675432746517426176,1588,608
675483430902214656,1928,1037
675489971617296384,1356,637
675497103322386432,3284,1388
675501075957489664,17927,6230
675517828909424640,1368,489
675522403582218240,1086,305
675531475945709568,1232,413
675534494439489536,1899,447
675706639471788032,670,103
675707330206547968,2083,741
675710890956750848,1982,893
675740360753160193,1216,371
675781562965868544,1691,509
675798442703122432,10746,3628
675820929667219457,1097,244
675822767435051008,1597,570
675845657354215424,2396,958
675849018447167488,989,163
675853064436391936,2816,1397
675870721063669760,1724,607
675878199931371520,4389,1506
675888385639251968,2496,1031
675891555769696257,2233,939
675898130735476737,1716,617
676089483918516224,1378,460
676098748976615425,3163,1549
676101918813499392,2946,1241
676121918416756736,2251,1252
676146341966438401,2008,716
676191832485810177,2394,1103
676215927814406144,1825,631
676219687039057920,78710,33439
676237365392908289,1282,316
676263575653122048,2173,587
676430933382295552,1464,371
676440007570247681,1809,719
676470639084101634,12220,5027
676496375194980353,1591,575
676533798876651520,1974,598
676575501977128964,2715,1211
676582956622721024,1264,305
676588346097852417,2453,863
676590572941893632,969,138
676593408224403456,4814,2321
676603393314578432,1231,421
676606785097199616,1974,473
676613908052996102,1142,208
676617503762681856,3044,1059
676776431406465024,5255,2166
676811746707918848,1492,457
676819651066732545,1890,714
676821958043033607,24293,16860
676864501615042560,2218,776
676897532954456065,2367,784
676916996760600576,3123,1936
676936541936185344,13396,5304
676942428000112642,2188,823
676946864479084545,1792,409
676948236477857792,2290,943
676949632774234114,1368,426
676957860086095872,2320,871
676975532580409345,2924,1155
677187300187611136,2879,991
677228873407442944,3731,1762
677269281705472000,2094,760
677301033169788928,1312,446
677314812125323265,1734,582
677328882937298944,3827,1624
677331501395156992,1148,256
677334615166730240,1430,320
677335745548390400,3222,1939
677530072887205888,1123,243
677547928504967168,7320,3926
677557565589463040,2570,1262
677565715327688705,1362,492
677573743309385728,2259,789
677644091929329666,1976,863
677662372920729601,2056,1057
677673981332312066,3530,1618
677687604918272002,2614,911
677698403548192770,1291,346
677700003327029250,3575,1558
677716515794329600,3217,1055
677895101218201600,5109,2292
677918531514703872,1423,441
677961670166224897,3602,1821
678021115718029313,14543,6898
678023323247357953,2034,421
678255464182861824,1673,404
678278586130948096,12147,6586
678334497360859136,1371,290
678341075375947776,1827,585
678380236862578688,2571,979
678389028614488064,1976,456
678396796259975168,1683,456
678399652199309312,61388,29987
678410210315247616,4490,1981
678424312106393600,5740,2768
678446151570427904,4230,1713
678643457146150913,2168,464
678675843183484930,3043,1617
678708137298427904,5888,2642
678740035362037760,3977,1854
678755239630127104,7574,3600
678764513869611008,1733,521
678767140346941444,3741,1488
678774928607469569,2949,1003
678798276842360832,3700,1292
678800283649069056,2727,981
678969228704284672,1740,501
678991772295516161,2470,1278
679001094530465792,2998,1338
679047485189439488,2390,741
679062614270468097,18124,8938
679111216690831360,6327,2784
679132435750195208,3146,1259
679148763231985668,2943,1119
679158373988876288,22835,8826
679405845277462528,2529,1312
679462823135686656,33739,20509
679475951516934144,2227,694
679503373272485890,3356,1610
679511351870550016,3586,1395
679527802031484928,2813,794
679530280114372609,5056,2252
679722016581222400,1758,511
679729593985699840,2300,898
679736210798047232,2221,870
679777920601223168,3280,1219
679828447187857408,38528,15274
679844490799091713,2520,846
679854723806179328,3045,1349
679862121895714818,2614,677
679872969355714560,2310,719
679877062409191424,2086,700
680055455951884288,17751,7770
680070545539371008,2727,958
680085611152338944,13590,9699
680100725817409536,3799,1489
680115823365742593,2883,992
680130881361686529,2437,1033
680145970311643136,3838,1894
680161097740095489,2462,797
680176173301628928,4148,1701
680191257256136705,2281,554
680206703334408192,3008,1279
680221482581123072,1548,315
680440374763077632,1543,552
680473011644985345,2697,810
680494726643068929,1825,526
680497766108381184,4507,2080
680583894916304897,3837,1456
680609293079592961,2801,780
680798457301471234,3041,1132
680801747103793152,2522,897
680805554198020098,2311,722
680836378243002368,3670,1452
680889648562991104,1876,399
680913438424612864,2546,675
680934982542561280,2206,480
680940246314430465,3434,1153
680959110691590145,4838,2163
680970795137544192,2587,722
681193455364796417,3948,1623
681231109724700672,2548,526
681242418453299201,1592,591
681261549936340994,1553,297
681281657291280384,3422,1202
681297372102656000,3391,1046
681302363064414209,4208,1999
681320187870711809,2829,827
681339448655802368,9893,4426
681340665377193984,1748,302
681523177663676416,15257,6356
681579835668455424,3781,1430
681610798867845120,2035,516
681654059175129088,2811,1012
681679526984871937,1872,486
681694085539872773,13603,4417
681891461017812993,2626,901
681981167097122816,2954,1126
682003177596559360,3357,1664
682032003584274432,7003,2200
682047327939461121,3418,1051
682059653698686977,5286,1849
682088079302213632,19531,10838
682242692827447297,3466,1292
682259524040966145,4445,1331
682303737705140231,3282,1087
682389078323662849,1779,506
682393905736888321,2380,746
682406705142087680,8072,1927
682429480204398592,3650,1266
682638830361513985,2191,654
682662431982772225,3246,1172
682697186228989953,1401,391
682750546109968385,1622,479
682788441537560576,2633,1219
682808988178739200,1885,199
682962037429899265,39457,18255
683030066213818368,2298,802
683078886620553216,2112,611
683098815881154561,2311,717
683111407806746624,3621,990
683142553609318400,3065,1139
683357973142474752,3135,1027
683391852557561860,8116,2602
683449695444799489,4142,1753
683462770029932544,2594,728
683481228088049664,2804,1083
683498322573824003,3363,1046
683515932363329536,7845,3172
683742671509258241,6934,3634
683773439333797890,3563,1480
683828599284170753,2980,1151
683834909291606017,2794,1205
683849932751646720,2792,1070
683852578183077888,2052,380
683857920510050305,4047,1218
684097758874210310,4370,1571
684122891630342144,2121,517
684147889187209216,3170,1630
684177701129875456,2153,733
684188786104872960,3709,1280
684195085588783105,2043,566
684200372118904832,2307,1123
684222868335505415,4097,1511
684225744407494656,1320,229
684241637099323392,8699,3598
684460069371654144,2108,606
684481074559381504,4121,1272
684538444857667585,2825,1049
684567543613382656,3208,1346
684588130326986752,4383,1535
684594889858887680,9531,3857
684800227459624960,2890,1084
684830982659280897,37419,23563
684880619965411328,2241,900
684902183876321280,2000,579
684914660081053696,3732,1593
684926975086034944,3733,513
684940049151070208,3432,1143
684959798585110529,7265,3431
684969860808454144,2518,420
685169283572338688,4366,1555
685198997565345792,2481,732
685268753634967552,3313,1321
685307451701334016,2206,481
685315239903100929,3565,1177
685321586178670592,2821,706
685325112850124800,10114,4368
685532292383666176,3246,1253
685547936038666240,35126,17112
685641971164143616,3128,843
685663452032069632,3467,1598
685667379192414208,2496,627
685681090388975616,2160,138
685906723014619143,8020,3167
685943807276412928,1742,666
685973236358713344,2250,584
686003207160610816,1937,695
686007916130873345,2635,457
686034024800862208,3323,1275
686035780142297088,1232,133
686050296934563840,2348,803
686286779679375361,4263,1815
686358356425093120,2342,746
686377065986265092,2363,615
686386521809772549,3468,962
686394059078897668,1868,746
686606069955735556,2010,586
686618349602762752,3923,1481
686683045143953408,2993,878
686730991906516992,4431,1308
686749460672679938,3696,1594
686760001961103360,3750,1498
686947101016735744,9172,3459
687096057537363968,2389,662
687102708889812993,2491,1078
687109925361856513,6188,2694
687124485711986689,2308,553
687127927494963200,5821,2494
687312378585812992,4644,2075
687317306314240000,21446,9989
687399393394311168,2026,682
687460506001633280,2175,589
687476254459715584,2103,587
687480748861947905,1702,270
687494652870668288,2042,626
687664829264453632,2068,558
687704180304273409,2599,918
687732144991551489,1881,715
687807801670897665,2546,761
687818504314159109,2667,1034
687826841265172480,2914,1237
687841446767013888,5828,2761
